epoch,beats_binary_accuracy,beats_loss,downbeats_binary_accuracy,downbeats_loss,loss,lr,tempo_binary_accuracy,tempo_loss,val_beats_binary_accuracy,val_beats_loss,val_downbeats_binary_accuracy,val_downbeats_loss,val_loss,val_tempo_binary_accuracy,val_tempo_loss
0,0.937836766242981,0.16475503146648407,0.9215275645256042,0.05317894369363785,0.26627248525619507,0.005,0.9827657341957092,0.04833883047103882,0.9385605454444885,0.127370685338974,0.905824601650238,0.040861088782548904,0.2140306830406189,0.9833232760429382,0.04579896107316017
1,0.9416400194168091,0.12238042801618576,0.9224928021430969,0.041313014924526215,0.20282109081745148,0.005,0.9828494191169739,0.03912780433893204,0.9385611414909363,0.12893962860107422,0.905824601650238,0.04232564941048622,0.21329818665981293,0.9833806753158569,0.04203290119767189
2,0.5743430852890015,5.336414337158203,0.5542073845863342,4.9558844566345215,10.403213500976562,0.005,0.9811965227127075,0.11090552806854248,0.020480602979660034,14.645565032958984,0.004144695121794939,13.267721176147461,28.09027671813965,0.9801722168922424,0.17699190974235535
3,0.22914154827594757,10.906962394714355,0.2026408612728119,10.31855583190918,21.402986526489258,0.005,0.979634165763855,0.17747701704502106,0.020480602979660034,14.645565032958984,0.004144695121794939,13.267721176147461,28.09027671813965,0.9801722168922424,0.17699190974235535
4,0.5708731412887573,6.018725395202637,0.4860173165798187,6.182011127471924,12.378210067749023,0.005,0.9796339273452759,0.17747695744037628,0.9385611414909363,0.6106269955635071,0.905824601650238,0.14271323382854462,0.9303326606750488,0.9801722168922424,0.17699190974235535
5,0.486250638961792,7.3669281005859375,0.5364192128181458,6.363617420196533,13.908034324645996,0.005,0.9796339869499207,0.17747695744037628,0.020480602979660034,14.645565032958984,0.905824601650238,0.14271323382854462,14.96527099609375,0.9801722168922424,0.17699190974235535
6,0.7064664959907532,3.9151480197906494,0.8766331672668457,0.608599066734314,4.701217174530029,0.005,0.9796341061592102,0.17747697234153748,0.9385611414909363,0.6106269955635071,0.905824601650238,0.14271323382854462,0.9303326606750488,0.9801722168922424,0.17699190974235535
7,0.9171607494354248,0.782185435295105,0.907576322555542,0.3115682303905487,1.271227240562439,0.005,0.979634165763855,0.17747700214385986,0.9385611414909363,0.6106269955635071,0.905824601650238,0.14271323382854462,0.9303326606750488,0.9801722168922424,0.17699190974235535
8,0.9221377968788147,0.7884872555732727,0.9078040719032288,0.3165844678878784,1.2825472354888916,0.005,0.9796342253684998,0.1774769276380539,0.9385611414909363,0.6106269955635071,0.905824601650238,0.14271323382854462,0.9303326606750488,0.9801722168922424,0.17699190974235535
9,0.9273349642753601,0.7642279863357544,0.910478949546814,0.3085920810699463,1.2502949237823486,0.005,0.9796341061592102,0.17747701704502106,0.9385611414909363,0.6106269955635071,0.905824601650238,0.14271323382854462,0.9303326606750488,0.9801722168922424,0.17699190974235535
